,walk_length,in_giant_component,started_in_2core,distinct_sites,is_retroceding,c
27674,773,True,True,434,False,6
27675,835,True,True,445,False,6
27676,1324,True,True,617,False,6
27677,1251,True,True,582,False,6
27678,4586,True,True,938,False,6
27679,1257,True,True,605,False,6
27680,770,True,True,415,False,6
27681,2,True,True,2,True,6
27682,1121,True,True,565,False,6
27683,2,True,True,2,True,6
27684,869,True,True,490,False,6
27685,2417,True,True,828,False,6
27686,371,True,True,248,False,6
27687,4,True,True,3,True,6
27688,2139,True,True,788,False,6
27689,2,True,True,2,True,6
27690,112,True,True,89,False,6
27691,2,True,True,2,True,6
27692,49,True,True,44,False,6
27693,1,False,False,1,False,6
27694,1938,True,True,715,False,6
27695,4444,True,True,933,False,6
27696,2246,True,True,793,False,6
27697,2,True,True,2,True,6
27698,183,True,True,148,False,6
27699,959,True,True,531,False,6
27700,150,True,True,117,False,6
27701,1902,True,True,729,False,6
27702,2947,True,True,859,False,6
27703,1883,True,True,720,False,6
27704,2,True,True,2,True,6
27705,4687,True,False,935,False,6
27706,290,True,True,203,False,6
27707,422,True,True,272,False,6
27708,63,True,True,52,False,6
27709,2592,True,True,844,False,6
27710,3,True,True,3,False,6
27711,353,True,True,241,False,6
27712,3493,True,True,889,False,6
27713,158,True,True,113,False,6
27714,3261,True,True,873,False,6
27715,877,True,True,468,False,6
27716,770,True,True,430,False,6
27717,1093,True,True,574,False,6
27718,2,True,True,2,True,6
27719,2254,True,True,792,False,6
27720,2,True,True,2,True,6
27721,41,True,True,28,False,6
27722,333,True,True,247,False,6
27723,1551,True,True,667,False,6
27724,1986,True,True,760,False,6
27725,869,True,True,477,False,6
27726,409,True,True,270,False,6
27727,904,True,True,488,False,6
27728,6,True,True,3,True,6
27729,380,True,True,267,False,6
27730,1073,True,True,539,False,6
27731,1293,True,True,622,False,6
27732,149,True,True,109,False,6
27733,2,True,True,2,True,6
27734,937,True,True,486,False,6
27735,2247,True,True,801,False,6
27736,294,True,True,214,False,6
27737,2177,True,True,798,False,6
27738,1542,True,True,679,False,6
27739,34,True,True,26,False,6
27740,6751,True,True,975,False,6
27741,258,True,True,193,False,6
27742,66,True,True,51,False,6
27743,585,True,True,384,False,6
27744,164,True,True,130,False,6
27745,2157,True,True,803,False,6
27746,1999,True,True,747,False,6
27747,519,True,True,330,False,6
27748,114,True,True,86,False,6
27749,446,True,True,298,False,6
27750,2,True,True,2,True,6
27751,232,True,True,183,False,6
27752,2,True,True,2,True,6
27753,390,True,True,260,False,6
27754,15,True,True,13,False,6
27755,7588,True,False,981,False,6
27756,2,True,True,2,True,6
27757,2,True,True,2,True,6
27758,103,True,True,80,False,6
27759,1952,True,True,755,False,6
27760,214,True,True,161,False,6
27761,301,True,True,202,False,6
27762,544,True,True,356,False,6
27763,99,True,True,82,False,6
27764,2,True,True,2,True,6
27765,2,True,True,2,True,6
27766,418,True,True,265,False,6
27767,403,True,True,278,False,6
27768,6620,True,True,966,False,6
27769,2,True,True,2,True,6
27770,2,True,True,2,True,6
27771,1771,True,True,692,False,6
27772,2,True,True,2,True,6
27773,2,True,True,2,True,6
27774,805,True,True,467,False,6
27775,13398,True,False,993,False,6
27776,304,True,True,222,False,6
27777,1650,True,True,686,False,6
27778,581,True,True,342,False,6
27779,2,True,True,2,True,6
27780,1375,True,True,628,False,6
27781,2306,True,True,814,False,6
27782,506,True,True,321,False,6
27783,293,True,True,201,False,6
27784,8,True,True,4,True,6
27785,6615,True,True,964,False,6
27786,2178,True,True,789,False,6
27787,2,True,True,2,True,6
27788,1622,True,True,667,False,6
27789,1048,True,True,540,False,6
27790,2,True,True,2,True,6
27791,4573,True,True,935,False,6
27792,6,True,True,4,True,6
27793,962,True,True,525,False,6
27794,224,True,True,152,False,6
27795,27,True,True,24,False,6
27796,4,True,True,3,True,6
27797,1240,True,True,616,False,6
27798,4596,True,True,939,False,6
27799,2,True,True,2,True,6
27800,53,True,True,37,False,6
27801,292,True,True,200,False,6
27802,3272,True,True,880,False,6
27803,202,True,True,145,False,6
27804,292,True,True,202,False,6
27805,360,True,True,251,False,6
27806,145,True,True,116,False,6
27807,3999,True,True,913,False,6
27808,2,True,True,2,True,6
27809,165,True,True,126,False,6
27810,2,True,True,2,True,6
27811,419,True,True,272,False,6
27812,4,True,True,3,True,6
27813,2786,True,True,847,False,6
27814,16543,True,True,993,False,6
27815,303,True,True,217,False,6
27816,2814,True,True,837,False,6
27817,793,True,True,449,False,6
27818,2,True,True,2,True,6
27819,4737,True,True,941,False,6
27820,1007,True,True,536,False,6
27821,4329,True,True,939,False,6
27822,737,True,True,426,False,6
27823,1586,True,True,685,False,6
27824,13326,True,False,996,False,6
27825,2,True,False,2,True,6
27826,2967,True,True,854,False,6
27827,1052,True,True,538,False,6
27828,4,True,True,3,True,6
27829,1928,True,True,741,False,6
27830,2,True,True,2,True,6
27831,85,True,True,70,False,6
27832,2,True,True,2,True,6
27833,289,True,True,212,False,6
27834,2387,True,True,800,False,6
27835,125,True,True,95,False,6
27836,4497,True,True,947,False,6
27837,2706,True,True,829,False,6
27838,2,True,True,2,True,6
27839,809,True,True,467,False,6
27840,2,True,True,2,True,6
27841,4,True,True,4,False,6
27842,3794,True,True,911,False,6
27843,290,True,True,209,False,6
27844,4,True,True,3,True,6
27845,1785,True,True,705,False,6
27846,3363,True,True,889,False,6
27847,6918,True,True,975,False,6
27848,771,True,True,461,False,6
27849,410,True,True,288,False,6
27850,35,True,True,29,False,6
27851,3029,True,True,851,False,6
27852,319,True,True,229,False,6
27853,637,True,True,385,False,6
27854,2,True,True,2,True,6
27855,922,True,True,480,False,6
27856,2,True,True,2,True,6
27857,1784,True,True,705,False,6
27858,197,True,True,139,False,6
27859,1142,True,True,563,False,6
27860,2,True,True,2,True,6
27861,1274,True,True,612,False,6
27862,1693,True,True,715,False,6
27863,4833,True,False,949,False,6
27864,2,True,True,2,True,6
27865,3103,True,True,885,False,6
27866,20,True,True,17,False,6
27867,226,True,True,167,False,6
27868,37,True,True,27,False,6
27869,311,True,True,218,False,6
27870,4277,True,True,926,False,6
27871,1195,True,True,571,False,6
27872,145,True,True,121,False,6
27873,2566,True,True,836,False,6
27874,1609,True,True,705,False,6
27875,2781,True,True,849,False,6
27876,2,True,True,2,True,6
27877,2,True,True,2,True,6
27878,1429,True,True,649,False,6
27879,2,True,True,2,True,6
27880,92,True,True,71,False,6
27881,572,True,True,361,False,6
27882,7716,True,True,978,False,6
27883,7820,True,True,981,False,6
27884,441,True,True,295,False,6
27885,1104,True,True,551,False,6
27886,3028,True,True,873,False,6
27887,1539,True,True,664,False,6
27888,2,True,True,2,True,6
27889,918,True,True,490,False,6
27890,2,True,True,2,True,6
27891,337,True,True,214,False,6
27892,1159,True,True,603,False,6
27893,1196,True,True,559,False,6
27894,4,True,True,3,True,6
27895,1100,True,True,546,False,6
27896,3512,True,True,903,False,6
27897,215,True,True,137,False,6
27898,236,True,True,163,False,6
27899,457,True,True,300,False,6
27900,1781,True,True,688,False,6
27901,1702,True,True,749,False,6
27902,914,True,True,509,False,6
27903,94,True,True,70,False,6
27904,1470,True,True,648,False,6
27905,943,True,True,482,False,6
27906,561,True,True,353,False,6
27907,2,True,True,2,True,6
27908,114,True,True,95,False,6
27909,2,True,True,2,True,6
27910,1941,True,True,729,False,6
27911,406,True,True,254,False,6
27912,763,True,True,423,False,6
27913,41,True,True,27,False,6
27914,326,True,True,230,False,6
27915,631,True,True,379,False,6
27916,6,True,True,4,True,6
27917,446,True,True,293,False,6
27918,482,True,True,308,False,6
27919,2,True,True,2,True,6
27920,602,True,True,380,False,6
27921,1881,True,True,741,False,6
27922,80,True,True,62,False,6
27923,392,True,False,271,False,6
27924,2,True,True,2,True,6
27925,842,True,True,480,False,6
27926,847,True,True,483,False,6
27927,1997,True,True,753,False,6
27928,66,True,True,55,False,6
27929,2,True,True,2,True,6
27930,2,True,True,2,True,6
27931,587,True,True,344,False,6
27932,1681,True,True,711,False,6
27933,1438,True,True,654,False,6
27934,2,True,True,2,True,6
27935,1194,True,True,597,False,6
27936,2,True,True,2,True,6
27937,1076,True,True,551,False,6
27938,3130,True,True,846,False,6
27939,1440,True,True,658,False,6
27940,2,True,True,2,True,6
27941,1345,True,True,632,False,6
27942,1583,True,True,708,False,6
27943,45,True,True,36,False,6
27944,2,True,True,2,True,6
27945,531,True,True,332,False,6
27946,209,True,True,159,False,6
27947,63,True,True,47,False,6
27948,805,True,True,460,False,6
27949,130,True,True,107,False,6
27950,283,True,True,190,False,6
27951,2,True,True,2,True,6
27952,588,True,True,371,False,6
